COD_UF,EST_AGRO,EST_AGRO_COM_COORD,EST_AGRO_SEM_COORD,ENDERECOS_SEM_NUM,ENDERECOS_EM_LOGRADOUROS_SEM_DENOMINACAO
11,91440,91289,151,27006,387
12,37352,37151,201,21940,118
13,80923,80425,498,52272,1233
14,16848,15751,1097,10427,707
15,281718,280412,1306,215064,3126
16,8507,8460,47,4882,51
17,63766,63625,141,47237,1533
21,219775,219558,217,179434,8553
22,245599,245443,156,141338,9961
23,394338,393644,694,106155,7321
24,63397,62855,542,12967,806
25,163225,163154,71,70588,430
26,281738,281396,342,173526,4963
27,98544,98389,155,45303,3258
28,93333,93309,24,51084,1664
29,762939,762474,465,448177,15429
31,607617,607251,366,400069,12658
32,108017,107892,125,92973,1580
33,65228,65190,38,46804,1079
35,188656,188587,69,129312,3668
41,305120,304547,573,252227,10737
42,183073,182786,287,159593,4378
43,365152,364010,1142,241459,4988
50,71158,70327,831,37960,1852
51,118682,118536,146,76112,3222
52,152175,152071,104,84848,3742
53,5246,5238,8,3246,32
